name,bpkey,commission_rate,url
"biosbpa","EOS4zN3ALkNUfbcYquMLsfQ5Fd5oHZcVYnq7pPoLQ5xdB89aXKDHu",1000,"http://eosforce.io"
"biosbpb","EOS5JqcM9M4g2NTZMYBUDsMFmzrLxFPwHqiCfq8gXtidJd9xY2xSz",1000,"http://eosforce.io"
"biosbpc","EOS65foCFdEvtcYtj2e5NTyJjQSAhfoJ2Gz6nMEFRb41gpQFp5G4Q",1000,"http://eosforce.io"
"biosbpd","EOS7S8HYN17GcjhHLRdSAPWcQ9GrHtGopwPTmRsJsZetDqqgzB4yn",1000,"http://eosforce.io"
"biosbpe","EOS6gmccp8xhFACz88tHX2S47WRUN1T1HujpUtMjDSQKK6BePEXYP",1000,"http://eosforce.io"
"biosbpf","EOS84jMNfWL7nGmEv1SG8p5D32oYjA5Uamyn5TpaXEa2Fi5wcTxKh",1000,"http://eosforce.io"
"biosbpg","EOS6y6duzoXuAYmMgJEZaBXhyW2eALCqrenkJKFHLfVQqATKyHLjk",1000,"http://eosforce.io"
"biosbph","EOS89RpvafLZeqW5pJZoNFQAiEyUKhcLk2AuiKn6XdTztBCHio2Vi",1000,"http://eosforce.io"
"biosbpi","EOS4z9VuwDw5RUjriC39MCjAbkdV1ZXvLvVdx23wuQ1XzqRj4uzBq",1000,"http://eosforce.io"
"biosbpj","EOS6GhnnwpNsNn8TK2Md5gV3AYKajQeMVNCtuWZuBEXneLmU24Enx",1000,"http://eosforce.io"
"biosbpk","EOS7jg2jfLSisQj23LLRpYFDUurHiymEK3gSo26vYgWpVzCLhrX12",1000,"http://eosforce.io"
"biosbpl","EOS6ETBkyXgFUGwgGJLiSzZaY5p48hUStShWaG4ie2L2UvQdRhjhB",1000,"http://eosforce.io"
"biosbpm","EOS78knxEEvFzHs2MRjF8QwtQDKAioaqdGKtFFTuacgbX3EJpKqYi",1000,"http://eosforce.io"
"biosbpn","EOS61xCViDMUipHwmKm4SNKHwby9PfLhAT2zXm7moysDdhdWS1Vb1",1000,"http://eosforce.io"
"biosbpo","EOS6hSLgBDWnZhjHNUi6GNjaUBFKQ5a4fn9gjBZTD2t5JQDsVXQrc",1000,"http://eosforce.io"
"biosbpp","EOS7hyKKpeZubr7j7bJ45QmWE7eWKurqpEetKKJZNTURNGwPHE87Z",1000,"http://eosforce.io"
"biosbpq","EOS8j17SSohGeGgUZvRiAT5fUNpnbyyZoNALmrbABHSd14BcQhAB5",1000,"http://eosforce.io"
"biosbpr","EOS6gMu4EqquhoMJQEGmWVAsJnxvHZnH2DZUmrNDkQyUXrq68kjAk",1000,"http://eosforce.io"
"biosbps","EOS73cpTHwmX2oNRY17y8tCgiZhkKHZabnsWsBjifShtv9pKC7qC8",1000,"http://eosforce.io"
"biosbpt","EOS4v5vVVBUZV27q7koVCDLAzHiNuTTxnBsjW6FX2xg8eZ9wfHBKh",1000,"http://eosforce.io"
"biosbpu","EOS8WUSE3BN6eZ7tfGYqhjCXDeujKZueiUZzokhX33PCwP9U4Q2zR",1000,"http://eosforce.io"
"biosbpv","EOS7BkA2ebcLYwc4wGzEGponZvZYCL5JhZxeHQNy28Q8i8hqriWve",1000,"http://eosforce.io"
"biosbpw","EOS8fqMUqjNhN6RMQ95dMHwrhkvYFeoY68bywT9qeryHM4WJPaWk9",1000,"http://eosforce.io"
